name,art_nr,country,volume,alc_vol,price
Winifred,Nr 56996,Österrike,750 ml,"11,5 % vol.",395:-
Château Gassier,Nr 73752,Frankrike,750 ml,13 % vol.,199:-
Allegro,Nr 73395,Italien,750 ml,"12,5 % vol.",91:-
Le Tende,Nr 75028,Italien,750 ml,"13,5 % vol.",190:-
Lohas Viñedos,Nr 75116,Spanien,750 ml,"11,5 % vol.",89:-
Château les Valentines,Nr 70019,Frankrike,750 ml,"13,5 % vol.",235:-
Cuvée des Vignettes,Nr 74253,Frankrike,1 500 ml,"13,5 % vol.",899:-
Cuvée des Vignettes,Nr 74457,Frankrike,750 ml,"13,5 % vol.",425:-
Ze Rozé,Nr 51059,Frankrike,750 ml,"12,5 % vol.",199:-
Vordy Minervois,Nr 74941,Frankrike,750 ml,"12,5 % vol.",178:-
Château Le Tap,Nr 74405,Frankrike,750 ml,13 % vol.,159:-
Clos Cibonne,Nr 51690,Frankrike,750 ml,"13,5 % vol.",299:-
Hecht & Bannier,Nr 51758,Frankrike,750 ml,13 % vol.,189:-
Château de Pibarnon,Nr 52099,Frankrike,750 ml,"13,5 % vol.",399:-
Domaines Ott,Nr 52251,Frankrike,750 ml,"13,5 % vol.",369:-
Strehn,Nr 52566,Österrike,750 ml,13 % vol.,209:-
Château de Pibarnon,Nr 52794,Frankrike,750 ml,14 % vol.,489:-
Primavera,Nr 70914,Italien,750 ml,"13,5 % vol.",158:-
Toscana Rosé,Nr 78027,Italien,750 ml,"11,5 % vol.",189:-
Bodvár N°8,Nr 71753,Frankrike,750 ml,"12,5 % vol.",185:-
Domaine des Féraud,Nr 71251,Frankrike,750 ml,12 % vol.,99:-
Weingut Isegrim,Nr 70994,Tyskland,750 ml,11 % vol.,120:-
Domaine de La Bégude,Nr 52961,Frankrike,750 ml,13 % vol.,399:-
Can Sumoi,Nr 71466,Spanien,750 ml,"11,5 % vol.",189:-
Farmers Market,Nr 74272,Italien,750 ml,"13,5 % vol.",79:-
Ciú Ciú,Nr 71313,Italien,750 ml,"13,5 % vol.",99:-
Ribas,Nr 79361,Spanien,750 ml,"13,5 % vol.",197:-
Born Rosé Barcelona,Nr 56791,Spanien,750 ml,12 % vol.,157:-
Agneta Patrulls,Nr 56866,Italien,750 ml,"12,5 % vol.",89:-
Notre Dames des Anges,Nr 56947,Frankrike,750 ml,"12,5 % vol.",179:-
St Antony,Nr 57161,Tyskland,750 ml,"11,5 % vol.",149:-
Finca La Solana,Nr 57349,Spanien,750 ml,12 % vol.,100:-
Nadal,Nr 58382,Spanien,750 ml,13 % vol.,136:-
Crios,Nr 2657,Argentina,750 ml,"13,5 % vol.",89:-
