name,art_nr,country,volume,alc_vol,price
Quercia al Poggio,Nr 2376,Italien,750 ml,"14,5 % vol.",189:-
Casa Belfi,Nr 71608,Italien,750 ml,12 % vol.,189:-
Le Tende,Nr 78660,Italien,750 ml,13 % vol.,188:-
Chateau de Brescou,Nr 71705,Frankrike,750 ml,14 % vol.,179:-
Miloca Cariñena,Nr 79391,Spanien,750 ml,14 % vol.,179:-
Miloca Garnacha,Nr 79771,Spanien,750 ml,"14,5 % vol.",179:-
Côtes du Rhône,Nr 74174,Frankrike,750 ml,"13,5 % vol.",179:-
Il Valténesi,Nr 71885,Italien,750 ml,13 % vol.,176:-
Menard,Nr 55652,Frankrike,750 ml,"13,5 % vol.",176:-
Fidelio,Nr 75078,Italien,750 ml,"14,5 % vol.",183:-
Toujours Plus,Nr 57414,Frankrike,1 000 ml,"11,5 % vol.",179:-
SA NATURA,Nr 54860,Spanien,750 ml,"14,5 % vol.",179:-
Morellino di Scansano,Nr 53583,Italien,750 ml,14 % vol.,187:-
Massimo Rivetti,Nr 51057,Italien,750 ml,14 % vol.,189:-
Tutti I Giorni Rosso,Nr 55737,Italien,1 000 ml,"13,5 % vol.",189:-
Truffle Hunter,Nr 56669,Italien,750 ml,14 % vol.,189:-
Arndorfer,Nr 82093,Österrike,1 000 ml,12 % vol.,185:-
Morgon,Nr 78627,Frankrike,750 ml,"13,5 % vol.",189:-
Lake Chalice,Nr 71865,Nya Zeeland,750 ml,13 % vol.,179:-
Beaujolais-Villages,Nr 58774,Frankrike,750 ml,"14,5 % vol.",189:-
Nero Frizzante,Nr 58802,Italien,750 ml,13 % vol.,172:-
Furnace,Nr 56003,Italien,750 ml,"14,5 % vol.",178:-
Ruffino,Nr 76578,Italien,750 ml,"15,5 % vol.",175:-
Vel'Uveyra,Nr 81875,Spanien,750 ml,13 % vol.,189:-
Mildiani,Nr 50373,Georgien,750 ml,11 % vol.,179:-
Tushpa,Nr 51293,Armenien,750 ml,13 % vol.,179:-
Grignolino del Monferrato Casales,Nr 51368,Italien,750 ml,"13,5 % vol.",189:-
Valpolicella Classico Superiore,Nr 72028,Italien,750 ml,14 % vol.,184:-
Hunters,Nr 78550,Nya Zeeland,750 ml,"13,5 % vol.",179:-
Scatena Brothers Zinfandel by Seghesio,Nr 2743,USA,750 ml,15 % vol.,189:-
Dorli Muhr,Nr 74379,Österrike,750 ml,"12,5 % vol.",179:-
Terre di San Leonardo,Nr 78859,Italien,750 ml,13 % vol.,189:-
Rita Hetvin,Nr 77008,Spanien,375 ml,"17,5 % vol.",182:-
Mandrarossa,Nr 73761,Italien,750 ml,"13,5 % vol.",179:-
Château Ponzac,Nr 2778,Frankrike,750 ml,"13,5 % vol.",185:-
Réserve des Seignreurs,Nr 58384,Frankrike,750 ml,15 % vol.,189:-
Château D'ARRICAUD,Nr 55293,Frankrike,750 ml,14 % vol.,185:-
Intipalka,Nr 59563,Peru,750 ml,"13,5 % vol.",178:-
Crissante,Nr 54237,Italien,750 ml,13 % vol.,179:-
Rita Hetvin,Nr 77008,Spanien,375 ml,"17,5 % vol.",182:-
Mandrarossa,Nr 73761,Italien,750 ml,"13,5 % vol.",179:-
Château Ponzac,Nr 2778,Frankrike,750 ml,"13,5 % vol.",185:-
Terre di San Leonardo,Nr 78859,Italien,750 ml,13 % vol.,189:-
Ruffino,Nr 76578,Italien,750 ml,"15,5 % vol.",175:-
Saint Clair,Nr 57397,Nya Zeeland,750 ml,13 % vol.,189:-
Fonterutoli,Nr 32229,Italien,750 ml,"13,5 % vol.",179:-
Château Barréjat,Nr 76946,Frankrike,750 ml,"14,5 % vol.",189:-
Beronia,Nr 78389,Spanien,750 ml,14 % vol.,179:-
Baron De Ley,Nr 72445,Spanien,750 ml,"14,5 % vol.",179:-
Wabnig & Wallmark,Nr 51781,Österrike,750 ml,13 % vol.,189:-
La Maestra,Nr 50875,Italien,750 ml,"14,5 % vol.",186:-
Naramae,Nr 50610,Italien,750 ml,"14,5 % vol.",189:-
Le Bombarde,Nr 50672,Italien,750 ml,"13,5 % vol.",170:-
Villabella,Nr 74845,Italien,750 ml,14 % vol.,185:-
Veritas,Nr 52330,Nordmakedonien,750 ml,15 % vol.,188:-
Cantina Santa Maria La Palma,Nr 57272,Italien,750 ml,"13,5 % vol.",170:-
Gianni Masciarelli,Nr 51669,Italien,750 ml,14 % vol.,189:-
Carl Jan,Nr 51094,Frankrike,750 ml,13 % vol.,189:-
J.Lohr Falcon's Perch,Nr 53618,USA,750 ml,14 % vol.,189:-
Ghiga Monferrato,Nr 53375,Italien,750 ml,13 % vol.,179:-
Viña Sastre,Nr 56297,Spanien,750 ml,14 % vol.,179:-
La petite Agnés,Nr 51081,Spanien,750 ml,"13,5 % vol.",188:-
Panzanello,Nr 75022,Italien,750 ml,15 % vol.,183:-
Otazu,Nr 56887,Spanien,750 ml,14 % vol.,189:-
Crasto Superior,Nr 55175,Portugal,750 ml,14 % vol.,179:-
Torraccia,Nr 52977,Italien,750 ml,"12,5 % vol.",184:-
Trizanne Signature Wines,Nr 56516,Sydafrika,750 ml,"13,5 % vol.",179:-
Trizanne Signature Wines,Nr 55396,Sydafrika,750 ml,"12,5 % vol.",179:-
Talò,Nr 74056,Italien,750 ml,14 % vol.,175:-
Sirica Campania,Nr 73359,Italien,750 ml,"13,5 % vol.",179:-
Terre More,Nr 76724,Italien,750 ml,13 % vol.,175:-
Marrenon,Nr 79585,Frankrike,750 ml,15 % vol.,189:-
Anima di Negroamaro,Nr 71944,Italien,750 ml,15 % vol.,179:-
Chianti Rufina,Nr 81747,Italien,750 ml,"13,5 % vol.",175:-
Predicat,Nr 86652,Spanien,750 ml,14 % vol.,189:-
Gloria,Nr 50122,Spanien,750 ml,15 % vol.,184:-
Le Roc de Chateau Puybarbe,Nr 50123,Frankrike,750 ml,15 % vol.,189:-
Roncolato,Nr 50282,Italien,750 ml,"14,5 % vol.",187:-
Duc de Foix,Nr 50693,Spanien,750 ml,13 % vol.,183:-
Frattasi Aglianico,Nr 50721,Italien,750 ml,"12,5 % vol.",175:-
Duvanera,Nr 50809,Italien,750 ml,14 % vol.,177:-
il Principe,Nr 50984,Italien,750 ml,14 % vol.,189:-
Tenuta Carlin de Paolo,Nr 51266,Italien,750 ml,14 % vol.,189:-
Vordy Minervois,Nr 72880,Frankrike,750 ml,14 % vol.,178:-
Thulon,Nr 72062,Frankrike,750 ml,13 % vol.,187:-
Nebbiolo,Nr 78879,Italien,750 ml,13 % vol.,175:-
Apostata,Nr 75651,Spanien,750 ml,"14,5 % vol.",179:-
Bruna Grimaldi,Nr 79667,Italien,750 ml,14 % vol.,185:-
Casina Valle Asinari,Nr 73719,Italien,750 ml,15 % vol.,189:-
Schwarz,Nr 78436,Österrike,750 ml,"13,5 % vol.",179:-
Chianti Classico,Nr 76907,Italien,750 ml,"13,5 % vol.",183:-
Domaine Piquemal,Nr 75525,Frankrike,750 ml,"14,5 % vol.",185:-
Domaine du Bon Remède,Nr 77567,Frankrike,750 ml,"14,5 % vol.",179:-
Terlan,Nr 51790,Italien,750 ml,13 % vol.,179:-
Maggio,Nr 51998,Italien,750 ml,14 % vol.,179:-
Brachetto d'Acqui,Nr 52026,Italien,750 ml,6 % vol.,189:-
Strehn,Nr 52564,Österrike,750 ml,"13,5 % vol.",189:-
Fontaleoni,Nr 52642,Italien,750 ml,"13,5 % vol.",179:-
Fattoria Rodano,Nr 58780,Italien,750 ml,"14,5 % vol.",186:-
Château Paradis Casseuil,Nr 58932,Frankrike,750 ml,14 % vol.,189:-
Cairanne,Nr 59751,Frankrike,750 ml,14 % vol.,189:-
Pra,Nr 59795,Italien,750 ml,"12,5 % vol.",189:-
Balos,Nr 59838,Italien,750 ml,13 % vol.,176:-
Château de Parenchère,Nr 82266,Frankrike,750 ml,"14,5 % vol.",189:-
Wolf Blass,Nr 58227,Australien,750 ml,"14,5 % vol.",189:-
Chronic Cellars,Nr 58255,USA,750 ml,"14,5 % vol.",189:-
Monte Zovo,Nr 58260,Italien,750 ml,"14,5 % vol.",189:-
Barbera d´Asti,Nr 57355,Italien,750 ml,14 % vol.,179:-
Antico Monastero,Nr 57731,Italien,750 ml,"13,5 % vol.",176:-
Antico,Nr 57744,Italien,750 ml,"13,5 % vol.",176:-
Tour de Rieux,Nr 57939,Frankrike,750 ml,"13,5 % vol.",179:-
Rossonoah,Nr 57943,Italien,750 ml,13 % vol.,179:-
Garnacha Perdida Pirineo,Nr 57997,Spanien,750 ml,15 % vol.,188:-
Perlat,Nr 58015,Spanien,750 ml,"14,5 % vol.",184:-
