name,art_nr,country,volume,alc_vol,price
Sancerre Les Boucauds,Nr 79908,Frankrike,750 ml,14 % vol.,399:-
Quinta Apolonia,Nr 75777,Spanien,750 ml,"13,5 % vol.",319:-
Louis Sipp,Nr 70326,Frankrike,750 ml,13 % vol.,399:-
Châteauneuf-du-Pape Chante Cigale,Nr 2230,Frankrike,750 ml,14 % vol.,399:-
Lamoresca,Nr 54682,Italien,750 ml,13 % vol.,329:-
Battenfeld,Nr 54190,Tyskland,750 ml,12 % vol.,379:-
Anitya,Nr 50661,Frankrike,750 ml,"13,5 % vol.",349:-
Côté Face,Nr 54415,Frankrike,750 ml,12 % vol.,305:-
Mas Amiel,Nr 57222,Frankrike,750 ml,"15,5 % vol.",399:-
Theodora,Nr 53991,Österrike,750 ml,"11,5 % vol.",395:-
Olindo,Nr 58824,Sydafrika,750 ml,"12,5 % vol.",360:-
Maliosa,Nr 50541,Italien,750 ml,13 % vol.,362:-
Radikon,Nr 72796,Italien,500 ml,"13,5 % vol.",349:-
Rall,Nr 92776,Sydafrika,750 ml,13 % vol.,319:-
Bread & Butter,Nr 58324,USA,1 500 ml,"13,5 % vol.",329:-
La Crema,Nr 76936,USA,750 ml,"13,5 % vol.",349:-
Vigneto di Popoli,Nr 73288,Italien,750 ml,13 % vol.,329:-
Englar,Nr 78940,Italien,750 ml,"13,5 % vol.",389:-
Ekam Riesling Albariño,Nr 92582,Spanien,750 ml,12 % vol.,329:-
Bouzeron Les Bouillottes,Nr 52233,Frankrike,750 ml,13 % vol.,319:-
Llanos Negros,Nr 77487,Spanien,750 ml,14 % vol.,349:-
Knebel,Nr 79677,Tyskland,750 ml,12 % vol.,349:-
Terreno,Nr 77263,Italien,375 ml,15 % vol.,327:-
Château De Fesles,Nr 77201,Frankrike,500 ml,"12,5 % vol.",327:-
Blanc de Corail,Nr 76689,Frankrike,750 ml,12 % vol.,399:-
Cats Cradle,Nr 56946,Sydafrika,750 ml,12 % vol.,339:-
Chablis Premier Cru,Nr 58462,Frankrike,750 ml,13 % vol.,359:-
Saint Veran Clos à la Côte,Nr 94464,Frankrike,750 ml,"13,5 % vol.",379:-
Bodonci Sauvignon,Nr 54633,Slovenien,750 ml,14 % vol.,360:-
Joh. Jos. Prüm,Nr 94594,Tyskland,750 ml,8 % vol.,399:-
Clos du Val,Nr 74384,USA,750 ml,14 % vol.,375:-
Ch by Chocapalha,Nr 59855,Portugal,750 ml,"12,5 % vol.",375:-
Sabiona Sylvaner,Nr 59897,Italien,750 ml,14 % vol.,379:-
Empire Strikes Back,Nr 58942,Sydafrika,750 ml,"13,5 % vol.",339:-
Hey French,Nr 59202,Italien,750 ml,"13,5 % vol.",399:-
Château Latour-Martillac,Nr 93488,Frankrike,750 ml,13 % vol.,399:-
Clos des Perrières,Nr 54201,Frankrike,750 ml,"12,5 % vol.",325:-
La Chablisienne,Nr 54320,Frankrike,750 ml,"13,5 % vol.",379:-
Chablis 1er Cru Montmains,Nr 75790,Frankrike,750 ml,13 % vol.,389:-
Kendall-Jackson,Nr 72747,USA,750 ml,"13,5 % vol.",319:-
Chablis,Nr 53804,Frankrike,750 ml,"12,5 % vol.",399:-
Radikon,Nr 57620,Italien,750 ml,"14,5 % vol.",389:-
David & Nadia,Nr 56527,Sydafrika,750 ml,"12,5 % vol.",329:-
Chablis,Nr 73147,Frankrike,750 ml,"12,5 % vol.",306:-
Quintaluna,Nr 72540,Spanien,750 ml,14 % vol.,332:-
Torcolato,Nr 53304,Italien,500 ml,13 % vol.,363:-
Dolia Paradis,Nr 51775,Frankrike,750 ml,14 % vol.,333:-
Alzinger Hollerin Riesling Smaragd,Nr 53623,Österrike,750 ml,13 % vol.,399:-
Lugana,Nr 52047,Italien,750 ml,13 % vol.,350:-
Stina Pošip,Nr 53970,Kroatien,750 ml,13 % vol.,325:-
Chablis Premier Cru,Nr 50576,Frankrike,750 ml,13 % vol.,399:-
Joh Jos Prüm,Nr 54809,Tyskland,750 ml,"7,5 % vol.",399:-
Maurice Schueller,Nr 50100,Frankrike,750 ml,14 % vol.,331:-
Cap Maritime,Nr 57304,Sydafrika,750 ml,"13,5 % vol.",389:-
Te Whare Ra,Nr 51495,Nya Zeeland,750 ml,"13,5 % vol.",329:-
Château Doisy-Daëne,Nr 51883,Frankrike,750 ml,"13,5 % vol.",399:-
Châteauneuf-du-Pape Les Cailloux Blanc,Nr 50798,Frankrike,750 ml,"13,5 % vol.",399:-
Camille & Mathieu Apffel,Nr 53129,Frankrike,750 ml,"11,5 % vol.",315:-
Parterre,Nr 53742,Australien,750 ml,12 % vol.,315:-
Domaine de Belle Vue,Nr 54930,Frankrike,750 ml,12 % vol.,329:-
Maurice Schueller,Nr 54600,Frankrike,750 ml,"14,5 % vol.",374:-
Von Winning,Nr 51309,Tyskland,750 ml,13 % vol.,339:-
Arinto Dos Açores,Nr 50289,Portugal,750 ml,"12,5 % vol.",399:-
Robert Weil,Nr 52496,Tyskland,750 ml,13 % vol.,399:-
François Chidaine,Nr 55535,Frankrike,750 ml,"14,5 % vol.",399:-
Bourgogne Blanc,Nr 56222,Frankrike,750 ml,"12,5 % vol.",349:-
Monte del Frá,Nr 56736,Italien,750 ml,13 % vol.,355:-
Pouilly-Fumé L’Ant,Nr 52557,Frankrike,750 ml,13 % vol.,359:-
Botanica,Nr 55150,Sydafrika,750 ml,14 % vol.,310:-
Roc de l'Abbaye,Nr 53965,Frankrike,750 ml,13 % vol.,359:-
Radikon,Nr 52510,Italien,500 ml,13 % vol.,399:-
Radikon,Nr 52944,Italien,750 ml,14 % vol.,389:-
Radikon Oslavje,Nr 53174,Italien,500 ml,13 % vol.,399:-
Trizanne Sondagskloof,Nr 56513,Sydafrika,750 ml,"12,5 % vol.",399:-
Trizanne,Nr 50077,Sydafrika,750 ml,"12,5 % vol.",399:-
West Viognier,Nr 50423,USA,750 ml,13 % vol.,326:-
Anhydrous,Nr 59041,Grekland,750 ml,"13,5 % vol.",329:-
Niederhäuser Hermannshöhle Magnus Riesling Trocken,Nr 59149,Tyskland,750 ml,13 % vol.,329:-
Cloudy Bay,Nr 59226,Nya Zeeland,750 ml,"13,5 % vol.",309:-
Banfi,Nr 59287,Italien,750 ml,"13,5 % vol.",359:-
Saint-Joseph Vieilles Vignes Blanc,Nr 59357,Frankrike,750 ml,"13,5 % vol.",379:-
Chateau de Myrat,Nr 59466,Frankrike,375 ml,"13,5 % vol.",313:-
Dressel 19.2,Nr 59510,Italien,750 ml,"13,5 % vol.",319:-
Alzinger Loibenberg Grüner Veltliner Smaragd,Nr 59515,Österrike,750 ml,"13,5 % vol.",389:-
Bott Frères,Nr 59573,Frankrike,750 ml,"12,5 % vol.",380:-
Joh. Jos. Prüm,Nr 53881,Tyskland,750 ml,7 % vol.,399:-
Pouilly Fuissé,Nr 75705,Frankrike,750 ml,"13,5 % vol.",379:-
Langpad Colombard,Nr 58175,Sydafrika,750 ml,11 % vol.,389:-
Weingut am Schlipf Schneider,Nr 50790,Tyskland,750 ml,"12,5 % vol.",399:-
Etna Bianco,Nr 54508,Italien,750 ml,"12,5 % vol.",359:-
I Vini di Giovanni,Nr 54324,Italien,750 ml,"12,5 % vol.",307:-
Domaine de la Pinède,Nr 55650,Frankrike,750 ml,"13,5 % vol.",399:-
Collecapretta,Nr 53969,Italien,750 ml,13 % vol.,348:-
J. de Villebois,Nr 55959,Frankrike,750 ml,13 % vol.,399:-
Ettore Germano,Nr 52276,Italien,750 ml,13 % vol.,395:-
Kung Fu Girl,Nr 2690,USA,1 500 ml,12 % vol.,329:-
Tiara,Nr 51786,Portugal,750 ml,"12,5 % vol.",319:-
Zenato,Nr 51962,Italien,750 ml,"13,5 % vol.",379:-
Clos Mireille,Nr 52342,Frankrike,750 ml,"13,5 % vol.",369:-
Sottocastello,Nr 52547,Italien,750 ml,"13,5 % vol.",319:-
Failla,Nr 52604,USA,750 ml,13 % vol.,375:-
Saint-Veran,Nr 52619,Frankrike,750 ml,13 % vol.,319:-
Pouilly-Fuisse,Nr 52628,Frankrike,750 ml,13 % vol.,329:-
Poully-Fuisse,Nr 52631,Frankrike,750 ml,13 % vol.,329:-
Pouilly-Fuisse,Nr 52632,Frankrike,750 ml,13 % vol.,309:-
Matthew Van Heerden,Nr 52701,Sydafrika,750 ml,13 % vol.,375:-
