idx,ID,Name,Country,Volume,Alcohol,Price
122,Nr 71335,Casa Vinironia,Italien,1000 ml,13 %,91:-
123,Nr 71662,Chianti,Italien,750 ml,"13,5 %",81:-
124,Nr 2345,Masi Costasera,Italien,750 ml,15 %,341:-
125,Nr 71441,Mandrarossa Timperosse,Italien,1500 ml,"13,5 %",260:-
126,Nr 71596,Raimonda,Italien,750 ml,"14,5 %",117:-
127,Nr 2398,Barolo Albe,Italien,750 ml,"14,5 %",281:-
128,Nr 79635,Ernst Utvalda Från Toscana,Italien,750 ml,"13,5 %",111:-
129,Nr 79600,Enzo Bartoli,Italien,1500 ml,14 %,302:-
130,Nr 78625,Passorone,Italien,750 ml,15 %,101:-
131,Nr 22328,Villa Puccini,Italien,750 ml,13 %,159:-
132,Nr 2340,La Corte del Pozzo,Italien,750 ml,"12,5 %",101:-
133,Nr 71002,Casa Capriolo,Italien,750 ml,14 %,101:-
134,Nr 32452,Raccolto,Italien,750 ml,14 %,101:-
135,Nr 52568,Casteloro,Italien,750 ml,"13,5 %",131:-
136,Nr 2541,Podere Brizio Rosso di Montalcino,Italien,750 ml,"13,5 %",151:-
137,Nr 4261,Castelo,Italien,750 ml,"13,5 %",77:-*
138,Nr 2180,Troppo,Italien,375 ml,"13,5 %",50:-
139,Nr 2576,Col d'Orcia,Italien,750 ml,14 %,151:-
140,Nr 53049,La Scoperta,Italien,1000 ml,13 %,91:-
141,Nr 76513,Enzo Bartoli,Italien,750 ml,"12,5 %",101:-
142,Nr 5353,Pasqua Valpolicella,Italien,750 ml,"13,5 %",127:-
143,Nr 3040,Tenuta Vignega,Italien,750 ml,"13,5 %",141:-
144,Nr 2754,Barbera d'Asti,Italien,750 ml,"13,5 %",81:-
145,Nr 71663,Le Ville di Antanè,Italien,750 ml,14 %,127:-
146,Nr 72828,Tre Marchetti,Italien,750 ml,15 %,171:-
147,Nr 79097,Brigaldara,Italien,750 ml,"14,5 %",151:-
148,Nr 52482,Massetti,Italien,1000 ml,13 %,91:-
149,Nr 75488,Grandicone,Italien,1000 ml,15 %,101:-
150,Nr 73456,Replica,Italien,750 ml,14 %,81:-
151,Nr 2368,Langhe Nebbiolo,Italien,375 ml,14 %,110:-
152,Nr 2322,il Conte,Italien,750 ml,14 %,81:-
153,Nr 2339,Ca' Vedole,Italien,750 ml,"11,5 %",161:-
154,Nr 32472,Le Volte,Italien,750 ml,"13,5 %",181:-
155,Nr 73091,Ronepasso,Italien,1000 ml,"13,5 %",91:-*
156,Nr 73059,Zengarello,Italien,750 ml,14 %,197:-
157,Nr 2318,Il Nostro,Italien,750 ml,"13,5 %",71:-*
158,Nr 2400,DeAetna,Italien,750 ml,"13,5 %",177:-
159,Nr 77488,Langhe Nebbiolo,Italien,750 ml,"13,5 %",141:-
160,Nr 95414,Nerojbleo,Italien,750 ml,"13,5 %",187:-
161,Nr 73684,Il Segreto,Italien,750 ml,"13,5 %",121:-
162,Nr 70384,Borgogno,Italien,750 ml,"13,5 %",121:-
163,Nr 73661,Borgogno,Italien,750 ml,14 %,301:-
164,Nr 3930,Gran Passione,Italien,750 ml,"14,5 %",111:-
165,Nr 74871,Vivaldi,Italien,750 ml,13 %,101:-
166,Nr 72805,Grande Alberone,Italien,750 ml,14 %,91:-
167,Nr 2144,Poliziano Vino Nobile di Montepulciano,Italien,750 ml,"13,5 %",171:-
168,Nr 53290,Luna di Mezzanotte,Italien,750 ml,14 %,131:-
169,Nr 76535,Piemonte Barbera,Italien,750 ml,"14,5 %",101:-
170,Nr 2740,Amarone della Valpolicella Classico,Italien,375 ml,15 %,110:-
