snapdate,name,art_nr,country,volume,alc_vol,price,type
2023-09-08,Göteborg 400 år,82941,Spain,750.0,11.5,149,Mousserande
2023-09-08,Haute Couture Rosé,7783,France,750.0,8,109,Mousserande
2023-09-08,Charles de Fère,75350,France,750.0,11.5,85,Mousserande
2023-09-08,Jérôme Arnoux,56071,France,750.0,12.5,188,Mousserande
2023-09-08,Cosmopolitan Diva,59231,International Brand,750.0,5.5,75,Mousserande
2023-09-08,Fruitière Vinicole D’Arbois,2426,France,750.0,12.5,179,Mousserande
2023-09-08,Bolla Prosecco,75189,Italy,750.0,11,89,Mousserande
2023-09-08,Can Sumoi,93341,Spain,750.0,10,179,Mousserande
2023-09-08,Hola,50260,Spain,1500.0,11.5,199,Mousserande
2023-09-08,Vouvray Brut,93006,France,750.0,12.5,149,Mousserande
2023-09-08,Prosecco la Robínía,7486,Italy,750.0,11,95,Mousserande
2023-09-08,Louis Bouillot,7688,France,375.0,12,89,Mousserande
2023-09-08,Clairette de Die,7939,France,750.0,7.5,119,Mousserande
2023-09-08,Aves del Sur,7954,Chile,750.0,12.5,99,Mousserande
2023-09-08,Greystone,92298,New Zealand,750.0,11.5,199,Mousserande
2023-09-08,Pierre Olivier,76086,France,750.0,11.5,79,Mousserande
2023-09-08,Bacio della luna,7958,Italy,750.0,11,69,Mousserande
2023-09-08,Raventós,92664,Spain,750.0,12,199,Mousserande
2023-09-08,Henkell Trocken,7751,Germany,375.0,11.5,62,Mousserande
2023-09-08,Cava Aurèlia,7923,Spain,750.0,12,159,Mousserande
2023-09-08,Sem Igual,92540,Portugal,750.0,12,199,Mousserande
2023-09-08,Torelló Tradicional,97055,Spain,750.0,12,194,Mousserande
2023-09-08,Dulcét,93578,New Zealand,750.0,12,189,Mousserande
2023-09-08,Höga Kusten,54503,Moldova,750.0,12.5,140,Mousserande
2023-09-08,Marqués de Monistrol,7415,Spain,750.0,11.5,75,Mousserande
2023-09-08,Louis Guntrum,2637,Germany,750.0,12,154,Mousserande
2023-09-08,Crémant,90530,France,750.0,12,199,Mousserande
2023-09-08,Arilds Vingård Bubbel,33346,Sweden,750.0,12.5,197,Mousserande
2023-09-08,Lambrusco di Sorbara,93721,Italy,750.0,11,135,Mousserande
2023-09-08,Heidsieck & Co Monopole,7398,France,200.0,12,159,Mousserande
2023-09-08,Loimer,90232,Austria,750.0,12,199,Mousserande
2023-09-08,Integro,93863,Italy,750.0,12,149,Mousserande
2023-09-08,Vouvray,90480,France,750.0,13,198,Mousserande
2023-09-08,Monsieur S,7544,France,750.0,12.5,139,Mousserande
2023-09-08,Fontanafredda Alta Langa,7949,Italy,750.0,12.5,189,Mousserande
2023-09-08,Disco Bubbles,56825,European Union,750.0,11,69,Mousserande
