id,name,country,volume,alcohol_volume,price,type
Nr 7751,Henkell Trocken,Germany,375.0,11.5,53,Mousserande
Nr 74378,Skumpa,Italy,750.0,7,60,Mousserande
Nr 7939,Clairette de Die,France,750.0,7.5,110,Mousserande
Nr 91184,Ca' del Bosco,Italy,750.0,12.5,321,Mousserande
Nr 7734,Cuperly,France,750.0,12,397,Mousserande
Nr 7889,Boschendal,South Africa,750.0,13,131,Mousserande
Nr 7949,Fontanafredda Alta Langa,Italy,750.0,12.5,171,Mousserande
Nr 75319,Pommery Apanage,France,750.0,12.5,421,Mousserande
Nr 7422,Taittinger,France,375.0,12,260,Mousserande
Nr 50670,Castillo Perelada,Spain,375.0,11.5,80,Mousserande
Nr 92131,Gosset,France,750.0,12,461,Mousserande
Nr 7871,Taittinger,France,750.0,12.5,631,Mousserande
Nr 93951,Riesling Sekt,Germany,750.0,12.5,231,Mousserande
Nr 94045,Susumante,Italy,750.0,12.5,181,Mousserande
Nr 94743,Izar-Leku,Spain,750.0,12.5,231,Mousserande
Nr 7732,Gardo & Morris,New Zealand,750.0,12,131,Mousserande
Nr 2637,Louis Guntrum,Germany,750.0,12,141,Mousserande
Nr 75308,Laurent-Perrier,France,750.0,12,641,Mousserande
Nr 7544,Monsieur S,France,750.0,12.5,141,Mousserande
Nr 95081,Llopart Panoramic,Spain,750.0,11.5,241,Mousserande
Nr 7710,Marqués de Monistrol,Spain,750.0,11.5,81,Mousserande
Nr 7701,Rotari,Italy,1500.0,12.5,262,Mousserande
Nr 7548,Cuvée Sir Winston Churchill,France,750.0,12.5,1901,Mousserande
Nr 7522,Duménil Brut Millésimé,France,750.0,12,400,Mousserande
Nr 7867,Palmer & Co,France,1500.0,12,1102,Mousserande
Nr 92073,Diebolt-Vallois,France,750.0,12.5,832,Mousserande
Nr 77226,Louis Roederer,France,750.0,12,691,Mousserande
Nr 7955,Expression,Spain,750.0,11.5,131,Mousserande
Nr 7755,Bollinger,France,750.0,12,671,Mousserande
Nr 7700,El Miracle,Spain,750.0,11.5,101,Mousserande
Nr 92682,Gramona Imperial,Spain,750.0,12,227,Mousserande
Nr 87914,Perrier-Jouët,France,750.0,12.5,1519,Mousserande
Nr 94488,Larmandier-Bernier,France,750.0,12.5,701,Mousserande
Nr 92375,Serral del Vell,Spain,750.0,12.5,451,Mousserande
Nr 7579,Bollinger,France,750.0,12,1601,Mousserande
Nr 7947,Amazone de Palmer,France,750.0,12,1101,Mousserande
Nr 93994,Bruant,Spain,750.0,12,199,Mousserande
Nr 7951,Skumpa,Italy,750.0,7,76,Mousserande
Nr 7521,Symbiose,France,750.0,12,351,Mousserande
Nr 90034,Bibo Runge,Germany,750.0,12.5,201,Mousserande
Nr 92472,Champagne Didier Michel,France,750.0,12,401,Mousserande
Nr 90255,La Riserva,Italy,750.0,11.5,199,Mousserande
Nr 90195,Birichino,USA,750.0,13,251,Mousserande
Nr 94233,Maso Martis,Italy,750.0,12.5,359,Mousserande
Nr 90529,Crémant du Jura,France,750.0,12.5,190,Mousserande
Nr 91230,Josefinelust,Sweden,750.0,12.5,330,Mousserande
Nr 92160,De Saint-Gall,France,750.0,12.5,381,Mousserande
Nr 94629,Greystone,New Zealand,750.0,12.5,199,Mousserande
Nr 87135,Krug,France,375.0,12,1050,Mousserande
Nr 88291,Ruinart,France,750.0,12.5,771,Mousserande
Nr 7707,Christine-Marié,South Africa,750.0,11.5,181,Mousserande
Nr 7923,Cava Aurèlia,Spain,750.0,12,161,Mousserande
Nr 77931,Armand de Brignac,France,750.0,12.5,2492,Mousserande
Nr 93735,Gusbourne,UK,750.0,12,401,Mousserande
Nr 93547,Vinyes de Can Sala,Spain,750.0,12.5,399,Mousserande
Nr 94689,Raventós i Blanc,Spain,750.0,12,299,Mousserande
Nr 7602,Louis Roederer,France,375.0,12,280,Mousserande
Nr 7583,Leclerc Briant,France,750.0,12,431,Mousserande
Nr 50957,Beaumont des Crayères,France,750.0,12,261,Mousserande
Nr 75855,Jacob's Creek,Australia,750.0,8.5,100,Mousserande
Nr 92979,Gramona,Spain,750.0,12,681,Mousserande
Nr 94741,Pierre Gimonnet & Fils,France,750.0,12.5,629,Mousserande
Nr 7398,Heidsieck & Co Monopole,France,200.0,12,116,Mousserande
Nr 90532,Fuchs und Hase,Austria,750.0,11.5,189,Mousserande
Nr 73866,Castelmondo,Italy,375.0,11,50,Mousserande
Nr 93149,Comtes de Champagne,France,750.0,12.5,1997,Mousserande
Nr 91313,Longitude Premier Cru Blanc de blancs,France,750.0,12.5,599,Mousserande
Nr 91238,Veuve Clicquot,France,750.0,12.5,1899,Mousserande
Nr 77711,Deutz,France,375.0,12,270,Mousserande
Nr 56054,Sugrue,UK,750.0,12,749,Mousserande
Nr 90561,Hervieux-Dumez,France,750.0,12,526,Mousserande
Nr 90337,Joly Coeur de Coteaux,France,750.0,12,439,Mousserande
Nr 7520,Crémant d'Alsace,France,750.0,12,181,Mousserande
